ticker,name,currency,px,street_tgt,C,eps_src,beat_b_pct,e_bear,e_base,e_bull,pe_bear,pe_base,pe_bull,pe_source,dynPE_now,vjn_forward_pe,yahoo_fwdPE,tp_bear,tp_base,tp_bull,up_bear_pct,up_base_pct,up_bull_pct,note,asof
MU,美光,USD,940.76,1501.9767,152.3792580698152,动态NTM w=0.97,20.28,152.3792580698152,167.82891386301185,183.27856965620848,5.25,7.3,9.1,近1Y动态前瞻PE[1Y] p25/50/75=6.43/7.26/9.10,6.173806210124737,6.54,6.073746,799.9911048665298,1225.1510711999865,1667.8349838714971,-14.96,30.23,77.29,全量刷新,2026-08-18
SNDK,闪迪,USD,1625.78,2107.6956,262.6226616221766,动态NTM w=0.97,46.31,262.6226616221766,323.4388428975323,384.25502417288794,3.6,5.0,8.2,近1Y动态前瞻PE[2026-01+] p25/50/75=3.58/5.05/8.15,6.190554993444592,7.82,6.1548824,945.4415818398359,1617.1942144876616,3150.891198217681,-41.85,-0.53,93.81,全量刷新,2026-08-18
WDC,西数,USD,496.16,664.9167,31.19964470225873,动态NTM w=0.97,11.21,31.19964470225873,32.948506257559245,34.69736781285976,11.4,14.3,19.0,近1Y动态前瞻PE[1Y] p25/50/75=11.36/14.32/19.01,15.902745316397445,26.39,15.651992,355.67594960574957,471.16363948309726,659.2499884443355,-28.31,-5.04,32.87,全量刷新,2026-08-18
AAOI,AAOI,USD,131.41,163.4,4.602,+1y/FY2,14.65,4.602,4.939181838671364,5.276363677342728,26.62972620599739,35.50630160799652,39.944589308996086,street-wing mid=tgt/C,,46.31,28.554976,122.55,175.37208006060425,210.7621801363596,-6.74,33.45,60.39,全量刷新,2026-08-18
NOK,诺基亚,USD,10.39,15.02222,0.49692,+1y/FY2,16.38,0.49692,0.5376063689590816,0.5782927379181633,22.67299565322386,30.23066087096515,34.00949347983579,street-wing mid=tgt/C,,26.14,20.9088,11.266665,16.252195822072963,19.667443099664162,8.44,56.42,89.29,全量刷新,2026-08-18
NVDA,英伟达,USD,219.74,302.82758,12.79836,+1y/FY2,4.61,12.79836,13.093060777589454,13.387761555178907,17.74607723177032,23.661436309027096,26.619115847655483,street-wing mid=tgt/C,,21.94,17.121721,227.12068500000004,309.80062367915366,356.37037577809565,3.36,40.99,62.18,全量刷新,2026-08-18
LITE,Lumentum,USD,873.31,1125.9277,18.73451,FY27=0y(已报FY26),6.82,18.73451,19.373322390741233,20.012134781482466,45.074345419229005,60.09912722563867,67.6115181288435,street-wing mid=tgt/C,,47.48,26.453382,844.445775,1164.3197671444716,1353.0508135750613,-3.31,33.32,54.93,全量刷新,2026-08-18
AVGO,博通,USD,380.0,527.88446,19.53066,+1y/FY2,1.55,19.53066,19.68230242223045,19.833944844460902,20.27137562171478,27.02850082895304,30.40706343257217,street-wing mid=tgt/C,,24.26,19.456587,395.913345,531.9831273349602,603.0920190036604,4.19,40.0,58.71,全量刷新,2026-08-18
MRVL,Marvell,USD,216.0,256.9142,6.24987,+1y/FY2,1.05,6.24987,6.282622632986574,6.315375265973151,30.830345271181642,41.10712702824219,46.24551790677246,street-wing mid=tgt/C,,46.99,34.56072,192.68565,258.26056664468854,292.0577999505492,-10.79,19.57,35.21,全量刷新,2026-08-18
AMD,AMD,USD,484.39,612.8383,15.45987,+1y/FY2,6.87,15.45987,15.990988115149417,16.522106230298835,29.730439195154936,39.64058559353992,44.59565879273241,street-wing mid=tgt/C,,43.53,31.316774,459.628725,633.89213310386,736.8142119836851,-5.11,30.86,52.11,全量刷新,2026-08-18
COHR,Coherent,USD,306.43,410.76,9.35217,FY27=0y(已报FY26),6.7,9.35217,9.665639799882104,9.979109599764207,32.941017966953126,43.92135728927084,49.41152695042969,street-wing mid=tgt/C,,37.43,22.110174,308.07,424.52801908001817,493.0830429300408,0.54,38.54,60.91,全量刷新,2026-08-18
NBIS,Nebius,USD,248.43,276.46155,,YE27 ARR $B (非EPS),,14.0,17.0,22.0,3.0,5.0,7.0,bc-01a016f0终稿 EV/ARR 3/5/7 × ARR $14/17/22B → $140/$291/$533,,,-82.87907,140.0,291.0,533.0,-43.65,17.14,114.55,Nebius财报解读终稿; 跳过PE,2026-08-18
INTC,英特尔,USD,96.685,114.87805,2.04013,+1y/FY2,15.0,2.04013,2.19313975,2.3461494999999997,42.23188595824776,56.309181277663676,63.34782893737164,street-wing mid=tgt/C,,58.83,47.39159,86.1585375,123.49390374999999,148.6234771875,-10.89,27.73,53.72,全量刷新,2026-08-18
000660.KS,海力士,KRW,1662000.0,3168656.2,417398.94960301166,动态NTM w=0.64,34.73,417398.94960301166,489883.11161384825,562367.2736246848,1.6,4.0,5.0,近1Y动态前瞻PE[1Y] p25/50/75=1.63/4.04/5.04,3.981802066298272,,3.652995,667838.3193648187,1959532.446455393,2811836.368123424,-59.82,17.9,69.18,全量刷新,2026-08-18
