ticker,name,currency,px,street_tgt,C,eps_src,beat_b_pct,e_bear,e_base,e_bull,pe_bear,pe_base,pe_bull,pe_tiers,pe_source,dynPE_now,vjn_forward_pe,yahoo_fwdPE,tp_bear,tp_base,tp_bull,up_bear_pct,up_base_pct,up_bull_pct,note,asof
MU,美光,USD,924.66,1513.1111,153.587251,动态NTM w=0.97,20.28,153.587251,169.1609982514,184.73474550280002,5.2,7.3,9.1,熊5.2/中7.3/牛9.1×,近1Y动态前瞻PE[1Y] p25/50/75=6.43/7.26/9.10,6.02042157783005,,5.924798,798.6537052000001,1234.87528723522,1681.08618407548,-13.63,33.55,81.81,下刊~9/23; 熊PE锚定5.25; 熊5.2/中7.3/牛9.1×,2026-09-14
SNDK,闪迪,USD,1545.8896,2125.087,263.20291679999997,动态NTM w=0.97,46.31,263.20291679999997,324.15084222149994,385.098767643,3.6,5.0,8.2,熊3.6/中5.0/牛8.2×,近1Y动态前瞻PE[2026-01+] p25/50/75=3.58/5.05/8.15,5.873375640341688,,5.8377175,947.5305004799999,1620.7542111074997,3157.8098946725995,-38.71,4.84,104.27,全量刷新; 熊3.6/中5.0/牛8.2×,2026-09-14
WDC,西数,USD,434.13,664.9167,31.399787,动态NTM w=0.97,11.21,31.399787,33.159745061349994,34.9197031227,11.4,14.3,19.0,熊11.4/中14.3/牛19.0×,近1Y动态前瞻PE[1Y] p25/50/75=11.36/14.32/19.01,13.825889965431932,,13.673588,357.9575718,474.18435437730494,663.4743593313,-17.55,9.23,52.83,全量刷新; 熊11.4/中14.3/牛19.0×,2026-09-14
AAOI,AAOI,USD,97.74,163.4,4.602,+1y/FY2,14.65,4.602,4.939096500000001,5.276193000000001,26.6,35.5,39.9,熊26.6/中35.5/牛39.9×,street-wing mid=tgt/C; 熊26.6/中35.5/牛39.9×,,,21.246197,122.55,175.36905000000002,210.75536250000002,25.38,79.42,115.63,全量刷新,2026-09-14
NOK,诺基亚,USD,9.87,14.96,0.49692,+1y/FY2,16.38,0.49692,0.5376053249999999,0.57829065,22.6,30.1,33.9,熊22.6/中30.1/牛33.9×,street-wing mid=tgt/C; 熊22.6/中30.1/牛33.9×,,,19.862352,11.22,16.18485,19.585912500000006,13.68,63.98,98.44,全量刷新,2026-09-14
NVDA,英伟达,USD,211.93,327.17758,15.56753,+1y/FY2,5.12,15.56753,15.966058768,16.364587536,15.8,21.0,23.6,熊15.8/中21.0/牛23.6×,street-wing mid=tgt/C; 熊15.8/中21.0/牛23.6×,,,13.613496,245.383185,335.553326048,386.92020610799995,15.79,58.33,82.57,Q2FY27已报; 熊15.8/中21.0/牛23.6×; fwdPE≈13.6×,2026-09-14
LITE,Lumentum,USD,851.4599,1149.3789,21.6705,FY27=0y(已报FY26),9.75,21.6705,22.727207756250003,23.783915512500002,39.8,53.0,59.7,熊39.8/中53.0/牛59.7×,street-wing mid=tgt/C; 熊39.8/中53.0/牛59.7×,,,21.447351,862.0341749999999,1205.42548861125,1419.1560868753124,1.24,41.57,66.67,全量刷新,2026-09-14
AVGO,博通,USD,347.42,531.8468,19.38391,+1y/FY2,2.49,19.38391,19.625481978375,19.867053956750002,20.6,27.4,30.9,熊20.6/中27.4/牛30.9×,street-wing mid=tgt/C; 熊20.6/中27.4/牛30.9×,,,17.923115,398.8851,538.474940745,613.2409666762501,14.81,54.99,76.51,Q3FY26已报(9/2): NG EPS$3.32 vs $3.24; C用+1y; 熊20.6/中27.4/牛30.9×,2026-09-14
MRVL,Marvell,USD,222.76,285.3031,6.73275,+1y/FY2,1.42,6.73275,6.7806366843750006,6.82852336875,31.8,42.4,47.7,熊31.8/中42.4/牛47.7×,street-wing mid=tgt/C; 熊31.8/中42.4/牛47.7×,,,33.086033,213.97732499999998,287.33231829874995,325.5317286721874,-3.94,28.99,46.14,Q2FY27已报: Rev$2.74B(+37%YoY) NG EPS$0.94; Q3指引Rev$3.15B±5% EPS$1.10±0.05; 上调FY27/28收入展望; 熊31.8/中42.4/牛47.7×,2026-09-14
AMD,AMD,USD,491.93,615.068,15.51049,+1y/FY2,6.87,15.51049,16.043469212625002,16.57644842525,29.7,39.7,44.6,熊29.7/中39.7/牛44.6×,street-wing mid=tgt/C; 熊29.7/中39.7/牛44.6×,,,31.715954,461.301,636.20327415,739.5058668374999,-6.23,29.33,50.33,全量刷新,2026-09-14
COHR,Coherent,USD,276.26,415.36197,9.41634,FY27=0y(已报FY26),6.7,9.41634,9.731905094250001,10.0474701885,33.1,44.1,49.6,熊33.1/中44.1/牛49.6×,street-wing mid=tgt/C; 熊33.1/中44.1/牛49.6×,,,19.79605,311.5214775,429.2817880196251,498.6018067941563,12.76,55.39,80.48,全量刷新,2026-09-14
NBIS,Nebius,USD,213.12,290.70587,,YE27 ARR $B (非EPS),,14.0,17.0,22.0,3.0,5.0,7.0,熊3.0/中5.0/牛7.0×(EV/ARR),bc-01a016f0终稿 EV/ARR 3/5/7 × ARR $14/17/22B → $140/$291/$533,,,,140.0,291.0,533.0,-34.31,36.54,150.09,Nebius财报解读终稿; 跳过PE,2026-09-14
INTC,英特尔,USD,97.98,115.74419,2.06,FY27离散度(39分析师): $1.41/$2.06/$3.44; 不用beat,,1.41,2.06,3.44,55.0,50.0,45.0,熊55/中50/牛45×(倒挂),FY27离散度×PE倒挂(熊高倍/牛低倍); EV/Sales≈6.2/8.0/11.8×(@FY27 Rev $71.3B),,,47.9169,77.55,103.0,154.8,-20.85,5.12,57.99,熊55/中50/牛45×(倒挂); CapEx>$20B/2027更高; 净负债$20.8B; SCIP回购$14.2B; 以色列KG厂地缘风险,2026-09-14
000660.KS,海力士,KRW,1697000.0,3197603.8,435663.58259999997,动态NTM w=0.71,26.67,435663.58259999997,493770.21292927495,551876.8432585499,1.6,4.0,5.0,熊1.6/中4.0/牛5.0×,近1Y动态前瞻PE[1Y] p25/50/75=1.63/4.04/5.04,3.8952073750862097,,3.6033132,697061.73216,1975080.8517170998,2759384.2162927496,-58.92,16.39,62.6,全量刷新; 熊1.6/中4.0/牛5.0×,2026-09-14
SKHY,海力士ADR,USD,176.225,248.42857,33.87758,SKHY +1y/FY2 USD,26.67,33.87758,38.3960022325,42.914424465,5.5,7.3,8.2,熊5.5/中7.3/牛8.2×,street-wing mid=tgt/C (SKHY USD); 熊5.5/中7.3/牛8.2×,,,5.20108,186.32669,280.29081629725,351.898280613,5.73,59.05,99.69,Nasdaq ADR 10:1; street-wing on USD +1y; beat取自000660.KS; 平价$126/溢价+40%; 熊5.5/中7.3/牛8.2×,2026-09-14
005930.KS,三星,KRW,249000.0,475850.1,63982.47214,动态NTM w=0.71,21.75,63982.47214,70938.9664234215,77895.46070684299,2.3,5.2,6.5,熊2.3/中5.2/牛6.5×,近1Y动态前瞻PE[1Y] p25/50/75=2.28/5.20/6.51,3.8916908283125307,,3.5364304,147159.68592199998,368882.6254017918,506320.49459447945,-40.9,48.15,103.34,全量刷新; 熊2.3/中5.2/牛6.5×,2026-09-14
AMZN,亚马逊,USD,253.96,328.1707,10.49351,+1y/FY2,29.93,10.49351,12.063994940375,13.634479880750002,23.5,31.3,35.2,熊23.5/中31.3/牛35.2×,street-wing mid=tgt/C; 熊23.5/中31.3/牛35.2×,,,24.411062,246.128025,377.28554738875,479.7004441246876,-3.08,48.56,88.89,全量刷新,2026-09-14
MSFT,微软,USD,505.33,572.91516,23.57298,+1y/FY2,8.78,23.57298,24.608128484250003,25.643276968500004,18.2,24.3,27.3,熊18.2/中24.3/牛27.3×,street-wing mid=tgt/C; 熊18.2/中24.3/牛27.3×,,,21.43683,429.68636999999995,598.0732969635001,701.1353631678751,-14.97,18.35,38.75,全量刷新,2026-09-14
